exam,image,fr,mo,dy,answer
Permis C,PL_1.jpg,PL_1_FR.mp3,PL_1_MO.mp3,PL_1_DI.mp3,
Permis C,PL_2.jpg,PL_2_FR.mp3,PL_2_MO.mp3,PL_2_DI.mp3,
Permis C,PL_3.jpg,PL_3_FR.mp3,PL_3_MO.mp3,PL_3_DI.mp3,
Permis C,PL_4.jpg,PL_4_FR.mp3,PL_4_MO.mp3,PL_4_DI.mp3,
Permis C,PL_5.jpg,PL_5_FR.mp3,PL_5_MO.mp3,PL_5_DI.mp3,
Permis C,PL_6.jpg,PL_6_FR.mp3,PL_6_MO.mp3,PL_6_DI.mp3,
Permis C,PL_7.jpg,PL_7_FR.mp3,PL_7_MO.mp3,PL_7_DI.mp3,
Permis C,PL_8.jpg,PL_8_FR.mp3,PL_8_MO.mp3,PL_8_DI.mp3,
Permis C,PL_9.jpg,PL_9_FR.mp3,PL_9_MO.mp3,PL_9_DI.mp3,
Permis C,PL_10.jpg,PL_10_FR.mp3,PL_10_MO.mp3,PL_10_DI.mp3,
Permis C,PL_11.jpg,PL_11_FR.mp3,PL_11_MO.mp3,PL_11_DI.mp3,
Permis C,PL_12.jpg,PL_12_FR.mp3,PL_12_MO.mp3,PL_12_DI.mp3,
Permis C,PL_13.jpg,PL_13_FR.mp3,PL_13_MO.mp3,PL_13_DI.mp3,
Permis C,PL_14.jpg,PL_14_FR.mp3,PL_14_MO.mp3,PL_14_DI.mp3,
Permis C,PL_15.jpg,PL_15_FR.mp3,PL_15_MO.mp3,PL_15_DI.mp3,
Permis C,PL_16.jpg,PL_16_FR.mp3,PL_16_MO.mp3,PL_16_DI.mp3,
Permis C,PL_17.jpg,PL_17_FR.mp3,PL_17_MO.mp3,PL_17_DI.mp3,
Permis C,PL_18.jpg,PL_18_FR.mp3,PL_18_MO.mp3,PL_18_DI.mp3,
Permis C,PL_19.jpg,PL_19_FR.mp3,PL_19_MO.mp3,PL_19_DI.mp3,
Permis C,PL_20.jpg,PL_20_FR.mp3,PL_20_MO.mp3,PL_20_DI.mp3,
Permis C,PL_21.jpg,PL_21_FR.mp3,PL_21_MO.mp3,PL_21_DI.mp3,
Permis C,PL_22.jpg,PL_22_FR.mp3,PL_22_MO.mp3,PL_22_DI.mp3,
Permis C,PL_23.jpg,PL_23_FR.mp3,PL_23_MO.mp3,PL_23_DI.mp3,
Permis C,PL_24.jpg,PL_24_FR.mp3,PL_24_MO.mp3,PL_24_DI.mp3,
Permis C,PL_25.jpg,PL_25_FR.mp3,PL_25_MO.mp3,PL_25_DI.mp3,
Permis C,PL_26.jpg,PL_26_FR.mp3,PL_26_MO.mp3,PL_26_DI.mp3,
Permis C,PL_27.jpg,PL_27_FR.mp3,PL_27_MO.mp3,PL_27_DI.mp3,
Permis C,PL_28.jpg,PL_28_FR.mp3,PL_28_MO.mp3,PL_28_DI.mp3,
Permis C,PL_29.jpg,PL_29_FR.mp3,PL_29_MO.mp3,PL_29_DI.mp3,
Permis C,PL_30.jpg,PL_30_FR.mp3,PL_30_MO.mp3,PL_30_DI.mp3,
Permis C,PL_31.jpg,PL_31_FR.mp3,PL_31_MO.mp3,PL_31_DI.mp3,
Permis C,PL_32.jpg,PL_32_FR.mp3,PL_32_MO.mp3,PL_32_DI.mp3,
Permis C,PL_33.jpg,PL_33_FR.mp3,PL_33_MO.mp3,PL_33_DI.mp3,
Permis C,PL_34.jpg,PL_34_FR.mp3,PL_34_MO.mp3,PL_34_DI.mp3,
Permis C,PL_35.jpg,PL_35_FR.mp3,PL_35_MO.mp3,PL_35_DI.mp3,
Permis C,PL_36.jpg,PL_36_FR.mp3,PL_36_MO.mp3,PL_36_DI.mp3,
Permis C,PL_37.jpg,PL_37_FR.mp3,PL_37_MO.mp3,PL_37_DI.mp3,
Permis C,PL_38.jpg,PL_38_FR.mp3,PL_38_MO.mp3,PL_38_DI.mp3,
Permis C,PL_39.jpg,PL_39_FR.mp3,PL_39_MO.mp3,PL_39_DI.mp3,
Permis C,PL_40.jpg,PL_40_FR.mp3,PL_40_MO.mp3,PL_40_DI.mp3,
Permis C,PL_41.jpg,PL_41_FR.mp3,PL_41_MO.mp3,PL_41_DI.mp3,
Permis C,PL_42.jpg,PL_42_FR.mp3,PL_42_MO.mp3,PL_42_DI.mp3,
Permis C,PL_43.jpg,PL_43_FR.mp3,PL_43_MO.mp3,PL_43_DI.mp3,
Permis C,PL_44.jpg,PL_44_FR.mp3,PL_44_MO.mp3,PL_44_DI.mp3,
Permis C,PL_45.jpg,PL_45_FR.mp3,PL_45_MO.mp3,PL_45_DI.mp3,